32,4096,0.89407,,,Seg sizes,sizes,time,,,,,,,,,,,,,,,,,,
32,16384,3.42679,,,32,4096,0.89407,,,,,,,,,,,,,,,,,,
32,65536,13.22794,,,32,16384,3.42679,,,,,,,,,,,,,,,,,,
32,131070,28.254986,,,32,65536,13.22794,,,,,,,,,,,,,,,,,,
32,262144,54.411173,,,32,131070,28.254986,,,,,,,,,,,,,,,,,,
32,1048576,222.045898,,,32,262144,54.411173,,,,,,,,,,,,,,,,,,
256,4096,0.170946,,,32,1048576,222.045898,,,,,,,,,,,,,,,,,,
256,16384,0.551939,,,256,4096,0.170946,,,,,,,,,,,,,,,,,,
256,65536,1.936197,,,256,16384,0.551939,,,,,,,,,,,,,,,,,,
256,131070,3.857851,,,256,65536,1.936197,,,size,4096,16384,65536,131070,262144,1048576,,,,4096,16384,65536,131070,262144,1048576
256,262144,7.955074,,,256,131070,3.857851,,,S_seg: 32,0.89407,3.42679,13.22794,28.254986,54.411173,222.045898,,,,0.051975,0.092983,0.283957,0.583887,0.977039,3.67713
256,1048576,30.078888,,,256,262144,7.955074,,,S_seg: 256,0.170946,0.551939,1.936197,3.857851,7.955074,30.078888,,,,0.036955,0.101089,0.375986,0.754118,1.379013,5.317926
1024,4096,0.102997,,,256,1048576,30.078888,,,S_seg: 1024,0.102997,0.239849,0.814199,1.545906,3.112078,12.26306,,,,0.023127,0.027895,0.067949,0.112057,0.121117,0.191927
1024,16384,0.239849,,,1024,4096,0.102997,,,S_seg: 2048,0.075102,0.117064,0.302076,0.586033,1.089096,4.466057,,,,,,,,,
1024,65536,0.814199,,,1024,16384,0.239849,,,S_seg: 4096,0.057936,0.090837,0.222921,0.386,0.756979,3.031015,,,,,,,,,
1024,131070,1.545906,,,1024,65536,0.814199,,,Non-stream,0.112057,0.221967,0.727892,1.450062,2.477169,9.186983,,,,,,,,,
1024,262144,3.112078,,,1024,131070,1.545906,,,,,,,,,,,,,,,,,,
1024,1048576,12.26306,,,1024,262144,3.112078,,,,,,,,,,,,,,,,,,
2048,4096,0.075102,,,1024,1048576,12.26306,,,,,,,,,,,,,,,,,,
2048,16384,0.117064,,,2048,4096,0.075102,,,,,,,,,,,,,,,,,,
2048,65536,0.302076,,,2048,16384,0.117064,,,,,,,,,,,,,,,,,,
2048,131070,0.586033,,,2048,65536,0.302076,,,,,,,,,,,,,,,,,,
2048,262144,1.089096,,,2048,131070,0.586033,,,,,,,,,,,,,,,,,,
2048,1048576,4.466057,,,2048,262144,1.089096,,,,,,,,,,,,,,,,,,
4096,4096,0.057936,,,2048,1048576,4.466057,,,,,,,,,,,,,,,,,,
4096,16384,0.090837,,,4096,4096,0.057936,,,,,,,,,,,,,,,,,,
4096,65536,0.222921,,,4096,16384,0.090837,,,,,,,,,,,,,,,,,,
4096,131070,0.386,,,4096,65536,0.222921,,,,,,,,,,,,,,,,,,
4096,262144,0.756979,,,4096,131070,0.386,,,,,,,,,,,,,,,,,,
4096,1048576,3.031015,,,4096,262144,0.756979,,,,,,,,,,,,,,,,,,
,,,,,4096,1048576,3.031015,,,,,,,,,,,,,,,,,,
