dimX: 32, 100, 0.006515
dimX: 32, 200, 0.006545
dimX: 32, 500, 0.006720
dimX: 32, 1000, 0.006575
dimX: 32, 2000, 0.006576
dimX: 32, 5000, 0.013027
dimX: 32, 10000, 0.026042
dimX: 32, 20000, 0.052616
dimX: 128, 100, 0.026168
dimX: 128, 200, 0.025627
dimX: 128, 500, 0.026543
dimX: 128, 1000, 0.027575
dimX: 128, 2000, 0.028696
dimX: 128, 5000, 0.035823
dimX: 128, 10000, 0.041553
dimX: 128, 20000, 0.046258
dimX: 256, 100, 0.051837
dimX: 256, 200, 0.052371
dimX: 256, 500, 0.050766
dimX: 256, 1000, 0.055066
dimX: 256, 2000, 0.055565
dimX: 256, 5000, 0.074014
dimX: 256, 10000, 0.085880
dimX: 256, 20000, 0.093599
dimX: 1024, 100, 0.179982
dimX: 1024, 200, 0.180167
dimX: 1024, 500, 0.185470
dimX: 1024, 1000, 0.195492
dimX: 1024, 2000, 0.244429
dimX: 1024, 5000, 0.299449
dimX: 1024, 10000, 0.334742
dimX: 1024, 20000, 0.306587
dimX: 2048, 100, 0.354695
dimX: 2048, 200, 0.358895
dimX: 2048, 500, 0.366886
dimX: 2048, 1000, 0.377549
dimX: 2048, 2000, 0.484184
dimX: 2048, 5000, 0.593399
dimX: 2048, 10000, 0.656253
dimX: 2048, 20000, 0.682798
