(128 x 128) (128 x 128), 0.074863, 0.060081, 0.061035
(511 x 1023) (1023 x 4094), 3.997803, 5.736828, 15.075207
(256 x 512) (512 x 2048), 1.325846, 1.485825, 1.900196
(511 x 1023) (1023 x 4094), 4.124880, 5.281925, 15.073061
(256 x 512) (512 x 2048), 1.085043, 1.433134, 1.896858
(320 x 640) (640 x 2560), 1.637936, 2.096176, 3.662825
(384 x 768) (768 x 3072), 2.317905, 3.038883, 6.329060
(448 x 896) (896 x 3584), 3.050089, 4.064083, 10.015965
(128 x 256) (256 x 1024), 0.281096, 0.383854, 0.368118
(192 x 384) (384 x 1536), 0.617027, 0.896931, 0.862122
