(128 x 128) (128 x 128), 0.097036, 0.235081, 0.019073
(128 x 128) (128 x 128), 0.111103, 0.248909, 0.019073
(2 x 3) (3 x 4), 0.058174, 0.019073, 0.031948
(128 x 128) (128 x 128), 0.094891, 0.300884, 0.041962
(511 x 1023) (1023 x 4094), 8.168936, 59.759140, 0.092030
(256 x 512) (512 x 2048), 2.547979, 8.988142, 0.018835
(320 x 640) (640 x 2560), 3.281116, 16.193151, 0.016928
(384 x 768) (768 x 3072), 4.545927, 26.737928, 0.021219
(448 x 896) (896 x 3584), 6.438017, 41.486979, 0.017166
(128 x 256) (256 x 1024), 0.567198, 1.771927, 0.046015
(192 x 384) (384 x 1536), 1.425028, 4.760981, 0.020027
(128 x 128) (128 x 128), 0.165939, 0.177860, 890.727043
(511 x 1023) (1023 x 4094), 8.380890, 11.354923, 1048.578978
(128 x 128) (128 x 128), 0.094891, 0.147104, 0.144958
(511 x 1023) (1023 x 4094), 8.300066, 10.996103, 49.094915
(256 x 512) (512 x 2048), 2.171993, 2.918959, 6.263018
(320 x 640) (640 x 2560), 3.243923, 4.381895, 11.914015
(384 x 768) (768 x 3072), 4.642010, 6.394863, 20.709991
(448 x 896) (896 x 3584), 6.268978, 8.400917, 33.109188
(128 x 256) (256 x 1024), 0.785112, 0.747919, 1.067877
(192 x 384) (384 x 1536), 1.245975, 1.612902, 2.898932
(128 x 128) (128 x 128), 0.173807, 0.128031, 700.638056
